urls,timestamp,record_id,titles,host_name,property_types,prices_per_night,location,ratings,num_reviews,cleaning_fee,baños,maximum_guests,dormitorios,camas,check_in_hour,check_out_hour,total_hours_checkin,acceso a la playa,acondicionador,admite mascotas,agua caliente,aire acondicionado,al lado de una massa de agua,almohadas y mantas adicionales,aparcamiento,apto para fumadores,arrocera,ascensor,bandeja de repostería,barbacoa,barreras de seguridad para bebés,batidora,bañera,bañera para bebés,bidé,bolera,botiquín,cafetera,café,caja de seguridad para llaves,caja fuerte,calefacción,calefactor portátil,cargador para vehículos eléctricos,cerradura en la puerta del dormitorio,champú,chimenea,cine,cocina,comedor al aire libre,compactador de residuos,conexión ethernet,congelador,copas de vino,cuna,cámaras de seguridad,desayuno incluido,detector de humo,detector de humohay alarmas de humo en el pasillo,detector de humopasillo,detector de humotenemos instalado detector-alarma de humos y de gases co2. ambos en el paso de entrada y salida a la cocina.,detector de monóxido de carbono,detector de monóxido de carbonococina,detector de monóxido de carbonohay una alarma de monóxido de carbono en la entrada de la cocina/ sala de estar.,detector de monóxido de carbonohay una alarma de monóxido de carbono. es en la puerta de entrada a la cocina/sala de estar,detector de monóxido de carbonotenemos instalado detector-alarma de humos y de gases co2. ambos en el paso de entrada y salida a la cocina.,disponible para estancias largaspermite estancias de 28 días o más,ducha exterior,entrada independiente,equipo para hacer ejercicio,espacio para guardar la ropa,extintor de incendios,frigorífico,gel de ducha,gimnasio,habitación temática,hervidor de agua,horno,jacuzzi,juegos de mesa,juegos gigantes,juegos recreativos,laser tag,lavadora,lavandería cercana,lavavajillas,libros y juguetes,libros y material de lectura,llegada autónoma,mesa de billar,mesa de comedor,mesa de ping-pong,mesa para cambiar pañales,microondas,mobiliario exterior,monitores de decibelios,monitores de decibelios en la propiedad,mosquitera,panificadora,patio,patio o balcón,perchas,persianas o cortinas opacas,personal en el edificio,piano,piscina,plancha,platos y cubiertos,platos y cubiertos para niños,productos de limpieza,protectores de enchufes,protectores para esquinas de mesa,rampa de skate,recepción por parte del anfitrión,rocódromo,ropa de cama,salvachispas,sauna,se permite dejar el equipaje,secador de pelo,secadora,seguros para ventanas,servicio de limpieza,servicios básicos,sistema de sonido,tendedero para ropa,tocadiscos,tostadora,trona,tv,utensilios básicos,utensilios de barbacoa,ventilador,videoconsola,wifi,zona para trabajar
https://www.airbnb.es/rooms/1252849636674011237?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1730967140_P3npDOuPhfoFPDyv&previous_page_section_name=1000&federated_search_id=2776cac8-7a06-465c-8244-950e3ec07e5e,2024-11-07 10:12:02,1252849636674011237,"Reserva una (o más) camas en este dormitorio compartido de 8 camas, con cuatro literas y un baño privado. cada litera está equipada con una luz personal, un estante y un casillero debajo de la cama. la habitación tiene aire acondicionado, lo que garantiza una estancia cómoda, con almohadas, edredones y sábanas. se pueden alquilar toallas en recepción. este dormitorio es exclusivo para huéspedes mayores de 18 años y ofrece una experiencia sociable y económica.el espaciogenerator barcelona es un hostal de diseño situado en el corazón de la ciudad, a pocos pasos del famoso passeig de gràcia y de la sagrada familia. con una mezcla de habitaciones privadas y dormitorios compartidos, generator es perfecto para personas que viajan solas, parejas y grupos. el hostal cuenta con recepción 24 horas, wifi gratuito, bar, cafetería y espacios sociales. con su ambiente vibrante y su ubicación privilegiada, generator barcelona es un punto de partida ideal para explorar la cultura y el encanto de la ciudad.servicios y zonas comunesnos enorgullecemos de garantizar que los huéspedes puedan relajarse en un entorno fresco y cómodo. la decoración de cada una de nuestras habitaciones siempre es fácil de ver; están totalmente equipadas con todos los toques modernos que esperarías también. reserva habitaciones privadas con terrazas que ofrecen bonitas vistas panorámicas de este lugar único. alternativamente, para una escapada verdaderamente memorable, hay una suite privada en el ático. también ofrecemos dormitorios pequeños, grandes y solo para mujeres para amigos o viajeros solitarios. y por supuesto, tendrás acceso a todas nuestras facilidades, incluyendo wifi gratuito, salas de reuniones, espacios chill-out y mucho más.otros aspectos destacablesnos enorgullecemos de garantizar que los huéspedes puedan relajarse en un entorno fresco y cómodo. la decoración de cada una de nuestras habitaciones siempre es fácil de ver; están totalmente equipadas con todos los toques modernos que esperarías también. reserva habitaciones privadas con terrazas que ofrecen bonitas vistas panorámicas de este lugar único. alternativamente, para una escapada verdaderamente memorable, hay una suite privada en el ático. también ofrecemos dormitorios pequeños, grandes y solo para mujeres para amigos o viajeros solitarios. y por supuesto, tendrás acceso a todas nuestras facilidades, incluyendo wifi gratuito, salas de reuniones, espacios chill-out y mucho más.habitaciones privadas: están disponibles con baño privado. todas las literas tienen una pantalla de privacidad. todas las habitaciones incluyen: tomas de corriente, luz led, ropa de cama y ropa de cama, almacenamiento con cerradura, espejos de cuerpo entero, mesa y silla, unidad colgante para ropa, dispensadores de gel de baño, solo habitaciones individuales.dormitorios: todas las literas tienen una pantalla de privacidad y cada habitación tiene baños privados con duchas y aseos. todas las habitaciones incluyen: tomas de corriente, luz led, ropa de cama y ropa de cama, almacenamiento con cerradura, espejos de cuerpo entero, mesa y silla, unidad colgante de ropa.número de registrohb-004525",Generator,Habitación,19.0,,4.75,4.0,0.0,,,,,14:00,10:00,10.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
https://www.airbnb.es/rooms/850684095339937556?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2025-01-06&check_out=2025-01-11&source_impression_id=p3_1730967139_P3DKQssNDOSfKesu&previous_page_section_name=1000&federated_search_id=2776cac8-7a06-465c-8244-950e3ec07e5e,2024-11-07 10:12:02,850684095339937556,"Desconecta de la rutina en este alojamiento a 30 segundos de la arena blanca de la playa. alrededor encontrarás muchos restaurantes y cafeterías autenticas y de moda. el mercado fresco esta a dos pasos si te apetece cocinar y comer sano. el alojamiento recién reformado ofrece todas las comodidades para sentirte como en casa. estaremos encantados de recibirte y ofrecerte una excelente estancia junto al mar de barcelona, una opción al alcance de pocos. bienvenidos :)el espacioel apartamento ofrece una habitación doble muy amplia con armario, escritorio para trabajar y un televisor. la sala principal se encuentra la zona de cocina y la zona confort. la cocina tiene todo lo necesario para cocinar lo que uno desee. el aire acondicionado y calefacción cubren todo el apartamento y además cuenta con radiadores portátiles si fueran necesarios en las noches inusualmente frías de invierno. todo es de buena calidad pues nuestros huéspedes no merecen menos. el baño cuanta con una amplia ducha, ideal para después de bañarse en la playa :)servicios y zonas comuneslos huéspedes tienen acceso total a todo el alojamiento. no hay nada compartido :)número de registroexempt",Marta+Paul,Alojamiento entero,80.0,,5.0,5.0,90.0,1.0,,1.0,1.0,15:00,11:00,9.0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1
https://www.airbnb.es/rooms/1279040855576324107?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=2020968030&search_mode=regular_search&check_in=2024-11-07&check_out=2024-11-12&source_impression_id=p3_1730967140_P3ZQo0gMVRmutRnE&previous_page_section_name=1000&federated_search_id=2776cac8-7a06-465c-8244-950e3ec07e5e,2024-11-07 10:12:02,1279040855576324107,Este anfitrión tiene 979 evaluaciones de otros alojamientos. échales un vistazo,David,Habitación,46.0,"Barcelona, Catalunya, España",0.0,0.0,15.0,,1.0,,1.0,17:00,11:00,7.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1
https://www.airbnb.es/rooms/1176611230178132461?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1730967139_P3kqyX1EcbsISAQV&previous_page_section_name=1000&federated_search_id=2776cac8-7a06-465c-8244-950e3ec07e5e,2024-11-07 10:12:02,1176611230178132461,Desconecta de la rutina en este alojamiento único y relajante.número de registrohutb-007416,Badajoz,Alojamiento entero,80.0,"Barcelona, Catalunya, España",0.0,0.0,60.0,2.0,,3.0,6.0,15:00,11:00,9.0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
https://www.airbnb.es/rooms/1279034995385137358?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=2020960331&search_mode=regular_search&check_in=2024-11-07&check_out=2024-11-12&source_impression_id=p3_1730967139_P3pUTIbR9KT-cztP&previous_page_section_name=1000&federated_search_id=2776cac8-7a06-465c-8244-950e3ec07e5e,2024-11-07 10:12:02,1279034995385137358,Este alojamiento tiene una ubicación estratégica: será muy fácil planear tu visita!número de registrohutb-739472,David,Habitación,56.0,"Barcelona, Catalunya, España",0.0,0.0,0.0,,,,1.0,17:00,11:00,7.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1
https://www.airbnb.es/rooms/1277705142024688819?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=2019829020&search_mode=regular_search&check_in=2024-11-07&check_out=2024-11-12&source_impression_id=p3_1730967140_P3ivDc0odtyMATsA&previous_page_section_name=1000&federated_search_id=2776cac8-7a06-465c-8244-950e3ec07e5e,2024-11-07 10:12:02,1277705142024688819,"Esta acogedora habitación doble está equipada con una cómoda cama doble, perfecta para una relajante estancia en barcelona. cuenta con una ventana que permite la entrada de luz natural, creando un ambiente cálido y acogedor. además, dispone de un armario para que puedas guardar tus pertenencias con comodidad. a solo unos pasos de la estación de metro urquinaona, tendrás fácil acceso a todas las maravillas que la ciudad tiene para ofrecer. tu refugio perfecto te espera!número de registroexempt",Carmen Luisa,Habitación,51.0,,0.0,0.0,0.0,,,,1.0,15:00,11:00,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
https://www.airbnb.es/rooms/1239353939252642805?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1988427769&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1730967148_P38gQ32Db5cK8E0z&previous_page_section_name=1000&federated_search_id=439a6c8a-d830-44dc-b816-c639128d40e5,2024-11-07 10:12:02,1239353939252642805,"Pequeña habitación acogedora, tiene 9 metros cuadrados, hay una cama litera , un armario y una cómoda pequeña, las ventanas dan al frente, con rejas de hierro, la habitación no tiene cerradura personal. el baño es compartido con otros huéspedes, hay cocina, nevera y microondas para comidas preparadas.el espaciola casa está en una zona céntrica y tranquila, hay dos líneas de metro cerca, parada de autobús, 5 paradas a sagrada familia, 7 paradas a plaza catalunya, muy cerca de los jardines de gaudí.durante tu estanciacon chat arbnbotros aspectos destacablesno se puede beber alcohol ni fumar en la casa, después de las 23:00 hay un momento de tranquilidad en la casa.número de registroexempt",Mate,Habitación,23.0,"Barcelona, Catalunya, España",4.33,9.0,5.0,,2.0,3.0,2.0,12:00,10:00,12.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
https://www.airbnb.es/rooms/52981104?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-07&check_out=2024-11-12&source_impression_id=p3_1730967148_P39oh-FjbwLRD5R5&previous_page_section_name=1000&federated_search_id=439a6c8a-d830-44dc-b816-c639128d40e5,2024-11-07 10:12:02,52981104,"Habitación ideal para compartir historias y experiencias con capacidad para hasta 8 personas. tiene 4 literas. incluye un baño privado, dos lavabos, aire acondicionado, wifi gratuito, ropa de cama y un espacio individual para guardar su equipaje. todas las camas tienen conexión usb para cargar sus dispositivos. unite dispone de habitaciones con baño adaptado para minusválidos según disponibilidad.el establecimiento no acepta pagos en efectivo, solo se puede pagar con tarjeta de crédito.el espaciohostal situado en un entorno privilegiado, en un edificio remodelado de la villa olímpica, a pocos pasos de la playa. ofrece amplias habitaciones todas con baño privado, aire acondicionado, wifi y conexión usb en cada cama.unite dispone de habitaciones privadas y compartidas, con más de 400m2 de espacios comunes con biblioteca, chill out, sala de tv, cocina, sala de creación de música electrónica, terraza con solárium y recepción 24h.desayuno bufé por 8,50 € todos los días de 7:30 a 10:30 en nuestra sala de desayunos. selección de pasteles, buenos zumos, cafés y tés de hierbas.también hay un espacio de coworking con ordenadores disponibles para los huéspedes. todos los días se organizan actividades tanto dentro como fuera de unite.hay un bar/restaurante y aparcamiento (epark) en el edificio.el albergue se encuentra a 10 minutos en bicicleta de la sagrada familia y a 500 metros de la parada de metro de la línea 4 (amarilla) que enlaza con la catedral, passeig de gràcia y diagonal.es el barrio de las start-ups y estudios de diseño más pioneros de la ciudad, playa nova icaria, barceloneta, born, port olimpic.otros aspectos destacablestenga en cuenta que este establecimiento no acepta pagos con american express.se requerirá una tarjeta de garantía en el momento del registro.los huéspedes menores de 18 años necesitan el permiso de su tutor legal para alojarse en dormitorios compartidos.un bebé no puede compartir un dormitorio.las camas se asignarán el día de llegada de acuerdo con las preferencias del huésped dentro de nuestras posibilidades de acuerdo con la disponibilidad. para asegurarse de que todos estén en la misma habitación, reserve una habitación privada.las toallas están incluidas solo en las habitaciones privadas. si ha reservado una cama en una habitación compartida, recuerde traerla con usted, de lo contrario, puede comprarla en la recepción por un costo adicional.uhb cuenta con una sala de visitas donde puede dejar su equipaje antes del check-in y después del check-out (servicio de pago). cuando te alojes tienes un espacio reservado en tu habitación para tu equipaje, recuerda que puedes traer tu propio candado y si lo olvidas no te preocupes porque puedes comprar uno en recepción (servicio de pago).tenga en cuenta que estos servicios incluyen una tarifa adicional:desayuno: 8,50 €coste adicional de las toallas 5,00 €.candado 6,00 €.depósito de secador de pelo de 20,00 €. estacionamiento no incluido en la tarifatasa municipal no incluida 4,68 € por persona/día de acuerdo con la ley del parlamento de cataluña. a pagar directamente en el hostal. a partir del 10/01/24 costará 5,50 € por persona y por día.número de registroaj000697",Unite Hostel,Habitación,31.0,,4.46,2780.0,0.0,,1.0,,1.0,14:00,11:00,10.0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1
https://www.airbnb.es/rooms/36054333?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-07&check_out=2024-11-12&source_impression_id=p3_1730967148_P3qTKUP54N-ep4LB&previous_page_section_name=1000&federated_search_id=439a6c8a-d830-44dc-b816-c639128d40e5,2024-11-07 10:12:02,36054333,"Reserva una (o más) camas en este dormitorio compartido de 8 camas, con cuatro literas y un baño privado. cada litera está equipada con una luz personal, un estante y un casillero debajo de la cama. la habitación tiene aire acondicionado, lo que garantiza una estancia cómoda, con almohadas, edredones y sábanas. se pueden alquilar toallas en recepción. este dormitorio es exclusivo para huéspedes mayores de 18 años y ofrece una experiencia sociable y económica.el espaciogenerator barcelona es un hostal de diseño situado en el corazón de la ciudad, a pocos pasos del famoso passeig de gràcia y de la sagrada familia. con una mezcla de habitaciones privadas y dormitorios compartidos, generator es perfecto para personas que viajan solas, parejas y grupos. el hostal cuenta con recepción 24 horas, wifi gratuito, bar, cafetería y espacios sociales. con su ambiente vibrante y su ubicación privilegiada, generator barcelona es un punto de partida ideal para explorar la cultura y el encanto de la ciudad.servicios y zonas comunesnos enorgullecemos de garantizar que los huéspedes puedan relajarse en un entorno fresco y cómodo. la decoración de cada una de nuestras habitaciones siempre es fácil de ver; están totalmente equipadas con todos los toques modernos que esperarías también. reserva habitaciones privadas con terrazas que ofrecen bonitas vistas panorámicas de este lugar único. alternativamente, para una escapada verdaderamente memorable, hay una suite privada en el ático. también ofrecemos dormitorios pequeños, grandes y solo para mujeres para amigos o viajeros solitarios. y por supuesto, tendrás acceso a todas nuestras facilidades, incluyendo wifi gratuito, salas de reuniones, espacios chill-out y mucho más.otros aspectos destacablesnos enorgullecemos de garantizar que los huéspedes puedan relajarse en un entorno fresco y cómodo. la decoración de cada una de nuestras habitaciones siempre es fácil de ver; están totalmente equipadas con todos los toques modernos que esperarías también. reserva habitaciones privadas con terrazas que ofrecen bonitas vistas panorámicas de este lugar único. alternativamente, para una escapada verdaderamente memorable, hay una suite privada en el ático. también ofrecemos dormitorios pequeños, grandes y solo para mujeres para amigos o viajeros solitarios. y por supuesto, tendrás acceso a todas nuestras facilidades, incluyendo wifi gratuito, salas de reuniones, espacios chill-out y mucho más.habitaciones privadas: están disponibles con baño privado. todas las literas tienen una pantalla de privacidad. todas las habitaciones incluyen: tomas de corriente, luz led, ropa de cama y ropa de cama, almacenamiento con cerradura, espejos de cuerpo entero, mesa y silla, unidad colgante para ropa, dispensadores de gel de baño, solo habitaciones individuales.dormitorios: todas las literas tienen una pantalla de privacidad y cada habitación tiene baños privados con duchas y aseos. todas las habitaciones incluyen: tomas de corriente, luz led, ropa de cama y ropa de cama, almacenamiento con cerradura, espejos de cuerpo entero, mesa y silla, unidad colgante de ropa.número de registrohb-004525",Generator,Habitación,26.0,,4.31,949.0,0.0,,1.0,,,14:00,10:00,10.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
https://www.airbnb.es/rooms/1264417090227650223?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-27&check_out=2024-12-02&source_impression_id=p3_1730967148_P3dyifhR-NaZy6Yb&previous_page_section_name=1000&federated_search_id=439a6c8a-d830-44dc-b816-c639128d40e5,2024-11-07 10:12:02,1264417090227650223,"Abierta, curiosa, aventurera. me encanta descubrir nuevos lugares, culturas.. mi ciudad favorita es buenos",Jana,Alojamiento entero,90.0,"Barcelona, Catalunya, España",0.0,0.0,40.0,1.0,2.0,1.0,1.0,15:00,11:00,9.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
