property_types,prices_per_night,ratings,num_reviews,cleaning_fee,dormitorios,camas,baños,maximum_guests,check_in_hour,check_out_hour,total_hours_checkin,aparcamiento e instalaciones,baño,calefacción y refrigeración,características de la ubicación,cocina y comedor,dormitorio y lavandería,entretenimiento,exterior,internet y oficina,para familias,privacidad y seguridad,seguridad en el hogar,servicios
Alojamiento entero,90.0,0.0,0.0,40.0,1.0,1.0,1.0,2.0,900.0,660.0,9.0,1,5,2,1,9,6,2,0,1,0,0,1,3
Habitación,50.0,0.0,0.0,45.0,,1.0,0.5,2.0,900.0,660.0,9.0,0,1,1,0,8,1,0,0,1,0,1,0,1
Alojamiento entero,95.0,4.97,0.0,40.0,1.0,1.0,1.0,2.0,540.0,1140.0,15.0,1,4,2,1,9,9,2,2,2,0,0,0,3
Habitación,101.0,4.55,697.0,0.0,1.0,3.0,1.0,3.0,840.0,660.0,10.0,2,2,2,0,6,5,1,3,2,2,0,3,3
Alojamiento entero,84.0,4.62,529.0,50.0,2.0,4.0,1.0,4.0,840.0,600.0,10.0,1,3,4,1,12,8,2,1,1,0,0,0,2
Habitación,36.0,0.0,2.0,25.0,,1.0,0.5,2.0,840.0,660.0,10.0,1,5,2,0,4,5,0,0,1,0,4,0,0
Alojamiento entero,90.0,4.83,587.0,38.0,2.0,3.0,1.0,4.0,900.0,660.0,9.0,2,5,2,1,12,9,2,1,2,6,0,4,4
Habitación,55.0,4.92,0.0,10.0,,1.0,0.0,2.0,780.0,660.0,11.0,0,2,2,0,2,2,1,0,2,0,5,0,2
Alojamiento entero,66.0,4.67,451.0,50.0,1.0,2.0,1.0,2.0,840.0,600.0,10.0,2,3,4,0,9,7,2,0,1,0,0,0,1
Habitación,19.0,4.75,4.0,0.0,,,0.5,1.0,840.0,600.0,10.0,0,1,1,0,0,3,0,0,1,0,0,2,0
Habitación,26.0,4.6,425.0,0.0,,10.0,0.5,1.0,900.0,660.0,9.0,2,1,2,0,8,3,0,3,2,0,0,3,1
Alojamiento entero,78.0,0.0,0.0,20.0,1.0,1.0,0.0,2.0,900.0,660.0,9.0,3,4,3,1,9,8,0,1,2,0,0,0,2
Habitación,45.0,4.81,48.0,20.0,2.0,1.0,0.5,1.0,900.0,,9.0,0,3,3,0,0,4,0,0,2,0,1,0,0
Alojamiento entero,113.0,4.71,34.0,30.0,1.0,1.0,1.0,2.0,900.0,720.0,9.0,0,4,2,1,10,6,1,0,2,0,0,0,1
Alojamiento entero,150.0,4.75,0.0,130.0,4.0,4.0,2.0,8.0,900.0,660.0,9.0,3,5,2,3,14,8,1,2,2,0,0,1,5
Habitación,40.0,0.0,0.0,45.0,,1.0,0.5,2.0,900.0,720.0,9.0,0,0,0,0,1,1,0,0,2,0,1,0,0
Alojamiento entero,98.0,0.0,0.0,60.0,2.0,3.0,1.0,4.0,960.0,660.0,8.0,2,3,2,0,10,6,1,1,2,2,0,0,1
