prices_per_night,ratings,num_reviews,cleaning_fee,dormitorios,camas,baños,maximum_guests,check_in_hour,check_out_hour,total_hours_checkin,aparcamiento e instalaciones,baño,calefacción y refrigeración,características de la ubicación,cocina y comedor,dormitorio y lavandería,entretenimiento,exterior,internet y oficina,para familias,privacidad y seguridad,seguridad en el hogar,servicios,habitacion,alojamiento entero
47.0,3.17,6.0,0.0,1.0,1.0,0.5,2.0,900.0,600.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0
16.0,3.79,28.0,0.0,1.0,4.0,0.5,1.0,900.0,600.0,9.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,1.0,0.0
23.0,4.33,9.0,5.0,3.0,2.0,0.5,2.0,720.0,600.0,12.0,1.0,3.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
22.0,4.1,214.0,0.0,1.0,1.0,0.5,2.0,900.0,600.0,9.0,1.0,1.0,2.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0
122.0,5.0,3.0,40.0,1.0,2.0,1.0,3.0,960.0,720.0,8.0,0.0,2.0,1.0,0.0,5.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
23.0,4.54,357.0,0.0,1.0,12.0,0.5,1.0,900.0,660.0,9.0,2.0,1.0,2.0,0.0,8.0,4.0,0.0,4.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0
142.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,900.0,600.0,9.0,0.0,4.0,2.0,0.0,7.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
96.0,0.0,0.0,115.0,2.0,2.0,2.0,4.0,900.0,660.0,9.0,1.0,6.0,2.0,1.0,8.0,6.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
74.0,4.5,208.0,0.0,1.0,2.0,1.0,2.0,900.0,660.0,9.0,2.0,6.0,2.0,0.0,1.0,8.0,1.0,0.0,1.0,0.0,0.0,3.0,4.0,1.0,0.0
26.0,4.31,949.0,0.0,1.0,8.5,0.5,1.0,840.0,600.0,10.0,1.0,1.0,2.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0
56.0,4.47,103.0,0.0,1.0,1.0,1.0,1.0,900.0,720.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
43.0,4.5,4.0,0.0,1.0,1.0,0.5,2.0,900.0,600.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0
50.0,4.91,0.0,0.0,1.0,1.0,0.5,1.0,900.0,720.0,9.0,1.0,6.0,2.0,2.0,7.0,8.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,1.0,0.0
80.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,840.0,600.0,10.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
160.0,4.84,0.0,40.0,2.0,3.0,1.0,4.0,840.0,660.0,10.0,2.0,3.0,2.0,2.0,14.0,8.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0
90.0,0.0,0.0,40.0,1.0,1.0,1.0,2.0,900.0,660.0,9.0,1.0,5.0,2.0,1.0,9.0,6.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0
