Host_name,Property_types,Prices_per_night,Check_ins,Check_outs,Cleaning_fees,Location,Ratings,Num_reviews,Camas,Baños,Maximum_guests,Dormitorios
Jing,Alojamiento entero,70.0,Llegada a partir de las 14:00,Salida antes de las 11:00,40.0,"Barcelona, Catalunya, España",0.0,2.0,1.0,1.0,3.0,1.0
Ikram,Habitación,45.0,Máximo 2 huéspedes,No consta que el alojamiento tenga un detector de monóxido de carbono,38.0,,0.0,0.0,1.0,,2.0,
Pat,Alojamiento entero,135.0,Llegada a partir de las 15:00,Salida antes de las 11:00,75.0,,4.83,368.0,3.0,1.5,4.0,2.0
Michael,Habitación,40.0,Horario de llegada: de 14:00 a 23:00,Salida antes de las 11:00,20.0,"Barcelona, Catalunya, España",4.7,37.0,1.0,,2.0,
Lu,Habitación,41.0,Horario de llegada: de 15:00 a 0:00,Salida antes de las 11:00,10.0,"Barcelona, Catalunya, España",4.86,7.0,1.0,,1.0,
Giovanna,Habitación,50.0,Horario de llegada: de 16:00 a 20:00,Salida antes de las 12:00,10.0,"Barcelona, Catalunya, España",0.0,0.0,1.0,,2.0,
Ana,Alojamiento entero,144.0,Horario de llegada: de 15:00 a 23:00,Salida antes de las 11:00,15.0,"Barcelona, Catalunya, España",0.0,0.0,1.0,0.0,3.0,1.0
Guido,Habitación,59.0,Horario de llegada: de 13:00 a 15:00,Salida antes de las 10:00,50.0,"Barcelona, Catalunya, España",0.0,0.0,1.0,,2.0,
Kiko,Alojamiento entero,75.0,Horario de llegada: de 15:00 a 20:00,Salida antes de las 11:00,80.0,"Barcelona, Catalunya, España",0.0,0.0,3.0,1.0,6.0,3.0
Anders,Alojamiento entero,79.0,Horario de llegada: de 14:00 a 21:00,Salida antes de las 10:00,60.0,,4.6,436.0,4.0,1.0,4.0,2.0
Thiago,Habitación,40.0,Llegada a partir de las 14:00,Salida antes de las 11:00,34.0,"Barcelona, Catalunya, España",4.32,44.0,1.0,,2.0,
Angel,Habitación,40.0,Máximo 2 huéspedes,No consta que el alojamiento tenga un detector de monóxido de carbono,34.0,"Barcelona, Catalunya, España",4.83,6.0,1.0,,2.0,
Antonia Y Andres,Habitación,33.0,Horario de llegada: de 15:00 a 20:00,Salida antes de las 10:00,,"Barcelona, Catalunya, España",4.63,8.0,1.0,,2.0,
Marina,Habitación,27.0,Horario de llegada: de 20:00 a 1:00,Salida antes de las 11:00,5.0,"Barcelona, Catalunya, España",0.0,0.0,1.0,,1.0,
Loni,Alojamiento entero,112.0,Llegada flexible,Salida antes de las 11:00,65.0,,0.0,0.0,2.0,1.0,3.0,1.0
Sergi,Alojamiento entero,92.0,Llegada a partir de las 13:00,Salida antes de las 10:00,42.0,,0.0,0.0,4.0,1.5,6.0,3.0
Serveis Inmobiliaris,Alojamiento entero,144.0,Llegada a partir de las 16:00,Salida antes de las 11:00,95.0,,4.56,336.0,4.0,1.0,6.0,3.0
Lodging Apartments,Alojamiento entero,117.0,Llegada a partir de las 15:00,Salida antes de las 11:00,95.0,"Barcelona, Catalunya, España",0.0,0.0,1.0,1.0,2.0,1.0
Hostal,Habitación,52.0,Horario de llegada: de 14:00 a 2:00,Salida antes de las 11:00,,,4.76,282.0,1.0,1.0,1.0,1.0
Karla Andrea,Habitación,46.0,Llegada flexible,Salida antes de las 11:00,15.0,"Barcelona, Catalunya, España",4.71,7.0,1.0,,2.0,
Joan,Habitación,42.0,Horario de llegada: de 18:00 a 23:00,Salida antes de las 10:00,30.0,,4.64,50.0,1.0,,1.0,
Victoria Isabel,Habitación,44.0,Horario de llegada: de 15:00 a 21:00,Salida antes de las 9:00,35.0,,0.0,0.0,1.0,,1.0,
The Streets Apartments,Alojamiento entero,160.0,Llegada a partir de las 15:00,Salida antes de las 11:00,,,4.86,208.0,1.0,1.0,2.0,1.0
Jesus Maximiliano,Habitación,67.0,Horario de llegada: de 15:00 a 20:00,Salida antes de las 10:00,,"Barcelona, Catalunya, España",0.0,0.0,1.0,,2.0,
Mambo,Habitación,33.0,Llegada a partir de las 15:00,Salida antes de las 11:00,,"Barcelona, Catalunya, España",4.48,279.0,8.0,2.0,8.0,
Ana,Alojamiento entero,108.0,Llegada flexible,Salida antes de las 12:00,80.0,,4.73,147.0,3.0,1.0,4.0,3.0
Hostal,Habitación,66.0,Horario de llegada: de 14:00 a 2:00,Salida antes de las 11:00,,,4.71,291.0,2.0,1.0,2.0,1.0
Sebastian,Habitación,44.0,Llegada a partir de las 15:00,Máximo 1 huésped,20.0,,4.83,47.0,1.0,,1.0,2.0
Kenia,Alojamiento entero,120.0,Horario de llegada: de 15:00 a 19:00,Salida antes de las 12:00,50.0,"Barcelona, Catalunya, España",5.0,3.0,2.0,1.0,3.0,2.0
Elsa Marina,Habitación,50.0,Llegada a partir de las 15:00,Salida antes de las 11:00,43.0,"Barcelona, Catalunya, España",4.77,115.0,1.0,,2.0,
Jane,Alojamiento entero,75.0,Horario de llegada: de 17:00 a 0:00,Salida antes de las 11:00,50.0,,4.7,547.0,2.0,1.0,4.0,1.0
Fontanella,Habitación,82.0,Llegada flexible,Salida antes de las 11:00,,,4.69,160.0,2.0,1.0,2.0,1.0
Francesc,Alojamiento entero,113.0,Llegada a partir de las 14:00,Salida antes de las 11:00,60.0,"Barcelona, Catalunya, España",4.82,44.0,2.0,1.0,3.0,1.0
Anetta,Alojamiento entero,104.0,Llegada a partir de las 14:00,Salida antes de las 10:00,30.0,,4.74,636.0,5.0,1.0,4.0,2.0
Ana,Alojamiento entero,108.0,Llegada flexible,Salida antes de las 12:00,80.0,,4.68,418.0,3.0,1.0,4.0,3.0
Flor,Alojamiento entero,130.0,Llegada a partir de las 14:00,Salida antes de las 11:00,89.0,,0.0,0.0,4.0,1.0,6.0,3.0
Feliz Rooms,Habitación,62.0,Llegada a partir de las 15:00,Máximo 2 huéspedes,53.0,,0.0,0.0,1.0,,2.0,4.0
Sebastian,Habitación,44.0,Horario de llegada: de 15:00 a 22:00,Salida antes de las 12:00,20.0,,4.77,140.0,1.0,,1.0,
Milagros,Habitación,60.0,Máximo 2 huéspedes,No se admiten mascotas,10.0,"Barcelona, Catalunya, España",0.0,0.0,2.0,,2.0,
Francesc,Alojamiento entero,113.0,Llegada a partir de las 14:00,Salida antes de las 11:00,60.0,"Barcelona, Catalunya, España",4.74,34.0,4.0,1.0,5.0,2.0
Stefano,Habitación,38.0,Horario de llegada: de 14:00 a 20:00,Salida antes de las 10:00,30.0,,4.31,154.0,1.0,,2.0,
Yang,Habitación,77.0,Máximo 2 huéspedes,No consta que el alojamiento tenga un detector de monóxido de carbono,66.0,"Barcelona, Catalunya, España",0.0,0.0,2.0,,2.0,
Milan,Habitación,81.0,Llegada a partir de las 15:00,Salida antes de las 11:00,10.0,"Barcelona, Catalunya, España",4.67,33.0,1.0,,2.0,
Carmen Luisa,Habitación,55.0,Horario de llegada: de 15:00 a 21:00,Salida antes de las 11:00,50.0,,0.0,0.0,1.0,,2.0,
Emmnuel Dario,Habitación,39.0,Horario de llegada: de 15:00 a 20:00,Salida antes de las 10:00,,"Barcelona, Catalunya, España",0.0,2.0,1.0,,1.0,
Diana Maria,Alojamiento entero,85.0,Horario de llegada: de 15:00 a 22:00,Salida antes de las 11:00,28.0,"Barcelona, Catalunya, España",0.0,0.0,2.0,1.0,3.0,1.0
"Alex, Javi & Pilar",Alojamiento entero,149.0,Llegada a partir de las 15:00,Salida antes de las 11:00,50.0,,4.8,572.0,3.0,2.0,5.0,2.0
Maria,Alojamiento entero,86.0,Llegada a partir de las 12:00,Salida antes de las 12:00,60.0,,4.67,153.0,3.0,1.0,4.0,2.0
Cecilia,Habitación,44.0,Llegada a partir de las 13:00,Salida antes de las 12:00,10.0,"Barcelona, Catalunya, España",4.3,37.0,1.0,,4.0,
Kike,Habitación,36.0,Horario de llegada: de 17:00 a 22:00,Salida antes de las 12:00,10.0,,4.69,150.0,1.0,,1.0,
Nekane,Habitación,24.0,Llegada a partir de las 14:00,Salida antes de las 10:00,,"Barcelona, Catalunya, España",4.25,112.0,1.0,,1.0,
El Khalat,Alojamiento entero,63.0,Horario de llegada: de 14:00 a 16:00,Salida antes de las 11:00,30.0,"Barcelona, Catalunya, España",0.0,2.0,1.0,1.0,3.0,1.0
Nanou,Alojamiento entero,88.0,Llegada a partir de las 15:00,Salida antes de las 12:00,45.0,"Barcelona, Catalunya, España",4.86,7.0,1.0,1.0,2.0,1.0
Som Nit Triomf,Habitación,101.0,Horario de llegada: de 15:00 a 23:00,Salida antes de las 11:00,,,4.49,1203.0,,1.0,2.0,1.0
Yako,Habitación,45.0,Horario de llegada: de 11:00 a 22:00,Salida antes de las 11:00,38.0,,4.79,19.0,1.0,,1.0,
Hostal,Habitación,76.0,Horario de llegada: de 14:00 a 2:00,Salida antes de las 11:00,,,4.73,489.0,2.0,1.0,2.0,1.0
Hola,Habitación,25.0,Llegada a partir de las 14:00,Salida antes de las 11:00,,,4.41,1125.0,1.0,5.0,1.0,
Jorge,Alojamiento entero,110.0,Llegada a partir de las 14:00,Salida antes de las 11:00,20.0,"Barcelona, Catalunya, España",0.0,0.0,1.0,1.0,2.0,
Joonas,Alojamiento entero,122.0,Llegada a partir de las 15:00,Salida antes de las 12:00,30.0,,4.79,24.0,1.0,1.0,2.0,1.0
Ana,Alojamiento entero,108.0,Llegada flexible,Salida antes de las 12:00,80.0,,4.75,357.0,3.0,1.0,4.0,3.0
Valentina,Alojamiento entero,90.0,Máximo 3 huéspedes,No consta que el alojamiento tenga un detector de monóxido de carbono,55.0,"Barcelona, Catalunya, España",0.0,0.0,2.0,1.0,3.0,1.0
Maria,Alojamiento entero,75.0,Horario de llegada: de 11:00 a 20:00,Salida antes de las 11:00,60.0,,0.0,0.0,3.0,2.0,5.0,3.0
Georgina,Alojamiento entero,99.0,Llegada a partir de las 15:00,Salida antes de las 11:00,25.0,"Barcelona, Catalunya, España",4.41,436.0,2.0,1.0,2.0,
Yulia,Alojamiento entero,120.0,Horario de llegada: de 15:00 a 18:00,Salida antes de las 11:00,25.0,,0.0,0.0,4.0,1.0,2.0,2.0
James,Alojamiento entero,108.0,Horario de llegada: de 15:00 a 20:00,Salida antes de las 11:00,115.0,,0.0,0.0,2.0,2.0,4.0,2.0
Rachid,Alojamiento entero,99.0,Horario de llegada: de 14:00 a 0:00,Salida antes de las 11:00,82.0,,0.0,0.0,1.0,1.5,4.0,1.0
Jay,Habitación,72.0,Llegada a partir de las 13:00,Salida antes de las 11:00,61.0,"Barcelona, Catalunya, España",0.0,0.0,1.0,,2.0,
Noelia Gisel,Habitación,57.0,Llegada a partir de las 15:00,Salida antes de las 11:00,,"Barcelona, Catalunya, España",0.0,2.0,1.0,,2.0,
Tiziana,Alojamiento entero,80.0,Horario de llegada: de 16:00 a 20:00,Salida antes de las 10:00,40.0,"Barcelona, Catalunya, España",4.5,4.0,1.0,1.0,2.0,1.0
Nicolas,Alojamiento entero,106.0,Llegada a partir de las 14:00,Salida antes de las 11:00,45.0,,4.82,570.0,1.0,1.0,2.0,1.0
The Streets Apartments,Alojamiento entero,177.0,Llegada a partir de las 15:00,Salida antes de las 11:00,,,4.82,305.0,1.0,1.0,2.0,1.0
Luminae Street,Alojamiento entero,113.0,Llegada a partir de las 15:00,Salida antes de las 11:00,70.0,"Barcelona, Catalunya, España",0.0,2.0,2.0,1.0,4.0,
Gimena Ana,Alojamiento entero,90.0,Horario de llegada: de 16:00 a 20:00,Salida antes de las 10:00,35.0,"Barcelona, Catalunya, España",4.72,173.0,2.0,1.0,2.0,1.0
Anya,Habitación,55.0,Horario de llegada: de 15:00 a 21:00,Salida antes de las 12:00,20.0,,4.75,116.0,1.0,,1.0,
Francesca,Alojamiento entero,130.0,Llegada a partir de las 15:00,Salida antes de las 10:00,65.0,,4.92,36.0,2.0,1.0,4.0,2.0
Sweett,Alojamiento entero,128.0,Horario de llegada: de 16:00 a 23:00,Salida antes de las 11:00,60.0,"Barcelona, Catalunya, España",0.0,2.0,3.0,2.0,4.0,3.0
Teo,Habitación,31.0,Horario de llegada: de 14:00 a 23:00,Salida antes de las 12:00,12.0,,4.52,269.0,1.0,,1.0,
Lina Maria,Habitación,25.0,Horario de llegada: de 16:00 a 21:00,Salida antes de las 12:00,5.0,"Barcelona, Catalunya, España",4.6,191.0,1.0,,1.0,
The Moods,Habitación,180.0,Llegada a partir de las 15:00,Salida antes de las 12:00,,"Plaça de Ramon Berenguer el Gran, 2, 08002 Barcelona, Spain",4.8,1382.0,1.0,1.0,2.0,1.0
Home Advice Spain,Alojamiento entero,158.0,Llegada a partir de las 16:00,Salida antes de las 10:00,,"Barcelona, Catalunya, España",4.63,19.0,1.0,1.0,4.0,1.0
Eli,Habitación,55.0,Horario de llegada: de 16:00 a 0:00,Salida antes de las 12:00,20.0,"Barcelona, Catalunya, España",4.48,21.0,2.0,,4.0,
Alvaro,Habitación,50.0,Llegada a partir de las 15:00,Salida antes de las 11:00,20.0,,4.59,106.0,1.0,,2.0,
Gimena Ana,Alojamiento entero,88.0,Horario de llegada: de 16:00 a 20:00,Salida antes de las 10:00,35.0,,4.72,43.0,2.0,1.0,3.0,2.0
Leo,Habitación,45.0,Llegada a partir de las 15:00,Salida antes de las 11:00,20.0,"Barcelona, Catalunya, España",4.74,99.0,1.0,,2.0,
Maria,Alojamiento entero,117.0,Llegada a partir de las 15:00,Salida antes de las 12:00,70.0,"Barcelona, Catalunya, España",0.0,0.0,4.0,1.0,3.0,2.0
Marita,Alojamiento entero,170.0,Horario de llegada: de 13:00 a 22:00,Salida antes de las 10:00,60.0,,0.0,0.0,1.0,1.0,2.0,1.0
Anna,Habitación,99.0,Llegada a partir de las 14:00,Salida antes de las 11:00,,"Carrer d'En Fontrodona, 08004 Barcelona, Barcelona, Spain",4.48,609.0,1.0,1.0,2.0,1.0
Sandra,Alojamiento entero,109.0,Horario de llegada: de 15:00 a 20:00,Salida antes de las 11:00,95.0,,4.29,87.0,5.0,1.0,5.0,2.0
Vero,Habitación,31.0,Horario de llegada: de 15:00 a 20:00,Salida antes de las 12:00,45.0,"Barcelona, Catalunya, España",0.0,0.0,1.0,,1.0,
Georgina,Alojamiento entero,122.0,Llegada a partir de las 15:00,Salida antes de las 11:00,50.0,"Barcelona, Catalunya, España",4.33,411.0,5.0,1.0,6.0,2.0
Rob,Habitación,49.0,Llegada a partir de las 14:00,Salida antes de las 11:00,20.0,,4.53,75.0,1.0,,1.0,
Ezequiel,Habitación,30.0,Horario de llegada: de 15:00 a 22:00,Salida antes de las 10:00,18.0,,4.76,268.0,1.0,,1.0,
Maria,Alojamiento entero,135.0,Horario de llegada: de 13:00 a 21:00,Salida antes de las 10:00,50.0,,0.0,0.0,3.0,1.5,6.0,2.0
Vero,Habitación,32.0,Horario de llegada: de 15:00 a 20:00,Salida antes de las 12:00,40.0,"Barcelona, Catalunya, España",0.0,0.0,1.0,1.5,1.0,
Andre,Alojamiento entero,102.0,Llegada a partir de las 15:00,Salida antes de las 11:00,50.0,,0.0,0.0,4.0,1.0,4.0,2.0
Manuel,Habitación,36.0,Llegada a partir de las 15:00,Salida antes de las 10:00,31.0,"Barcelona, Catalunya, España",4.56,34.0,1.0,,1.0,
Camila,Habitación,36.0,Horario de llegada: de 13:00 a 22:00,Salida antes de las 11:00,31.0,"Barcelona, Catalunya, España",4.54,78.0,1.0,,1.0,
Jan Christopher,Habitación,60.0,Horario de llegada: de 17:00 a 21:00,Salida antes de las 12:00,51.0,,0.0,0.0,1.0,,1.0,
Alexandre,Alojamiento entero,131.0,Horario de llegada: de 14:00 a 16:00,Salida antes de las 11:00,80.0,,0.0,0.0,2.0,1.0,2.0,2.0
Yulia,Alojamiento entero,130.0,Horario de llegada: de 15:00 a 18:00,Salida antes de las 11:00,35.0,,0.0,0.0,4.0,1.0,3.0,2.0
Iggy,Habitación,45.0,Horario de llegada: de 14:00 a 20:00,Salida antes de las 10:00,38.0,"Barcelona, Catalunya, España",4.63,119.0,1.0,,2.0,
